config,question,right_answer,generated_answer,correct
Standard,Bebe Rexha was a singer who guested on the David Guetta song that was produced by which Dutch DJ?,Afrojack,"Bebe Rexha guested on the song produced by Afrojack, a Dutch DJ.",True
Standard,"Yukio Mishima and Roberto Bolaño, are Chilean?",no,"No, Yukio Mishima was Japanese and Roberto Bolaño was Mexican-Chilean.",True
Standard,What Lindsey Stirling song's video received 1.3 million views on YouTube after one day?,Shatter Me,"""Lose Control""",False
Standard,The 1st Battle of Kharkov was named so by a German field army born in which year ?,1882,1942,False
Standard,"Power Balladz, is a live comedy performance featuring a mixture of comedy, trivia, and iconic rock n' roll songs from the 70s, 80s & 90s, the comedy's musical blend includes songs by Heart, a rock band that first found success in Canada and later in the United States and worldwide, are of which nationality ?",American,The nationality of Heart is Canadian and American.,True
Standard,"Kazuhito Kosaka, is a Japanese comedian, better known by his stage names Daimaou Kosaka, and which name, used by his fictional singer-songwriter identity, and is best known for his single ""PPAP (Pen-Pineapple-Apple-Pen)""?",Pikotaro,"Kazuhito Kosaka, better known by his stage name Daimaou Kosaka, is also known as Pineapple for his fictional singer-songwriter identity, and he is best known for his single ""PPAP (Pen-Pineapple-Apple-Pen)"".",False
Standard,What was the population of the terminus of the Willunga railway line in 2011,"2,416","According to the 2011 Australian Census, the population of Willunga, South Australia, which was the terminus of the Willunga railway line, was 943.",False
Standard,"Stranger Things is an American science fiction-horror web television series created, written, directed and co-executive produced by the Duffer Brothers, the first season stars include Gaten Matarazzo, an American actor, who began his career on the Broadway stage as who, in ""Priscilla, Queen of the Desert""?",Benjamin,"Gaten Matarazzo began his career on the Broadway stage as the character Bernadette in ""Priscilla, Queen of the Desert.""",False
Standard,"Who wrote the lyrics of Portofino with a collaborator on ""Fiddler on the Roof""",Richard Ney,"Shirley Babcock collaborated with Jerry Bock to write the lyrics for ""Portofino"" on ""Fiddler on the Roof.""",False
Standard,What Hockey team does Evander Kane play for?,Buffalo Sabres,Evander Kane currently plays for the Colorado Avalanche.,False
Standard,Which  castle in the border region of Scotland did Hermitage Water passes through ,Hermitage Castle,Hermitage Castle.,True
Standard,"Which movie was co-written by the person who directed ""Blood""?",The Awakening,"The movie co-written by the director of ""Blood"" is ""Underworld"".",True
Standard,"Which genus has more species, Fir or Chelone?",Firs,"Fir has more species than Chelone. Fir belongs to the genus Abies which includes about 10-12 species, while Chelone, a genus of flowering plants, includes only 5-6 species.",False
Standard,Which genus is more spread around the world Maytenus or Eucommia ?,Maytenus,Maytenus is more widely spread around the world compared to Eucommia.,True
Standard,When was the American rapper which was one those whose House Shoes produced their albums born? ,"March 16, 1981","The question is incomplete as it doesn't specify which American rapper is being referred to. House Shoes produced albums for several rappers, including Tech N9ne. If you provide the name of the specific rapper, I can give you an accurate birth date.",False
Standard,"Mel Duncan holds a degree from what private, coeducational liberal arts college located in Saint Paul, Minnesota, US?",Macalester College,Mel Duncan holds a degree from Carleton College.,False
Standard,"In which town was the 1987 American drama film Ironweed, shot on location that featured a 400 acre pastoral cemetery?","Colonie, New York","The 1987 American drama film Ironweed was shot on location in Glens Falls, New York, featuring a 400-acre pastoral cemetery.",False
Standard, Are Phil Mogg and Dave Peters musicians?,yes,"Yes, Phil Mogg and Dave Peters are musicians.",True
Standard,"The Sia song ""Never Give Up"" is from the soundtrack of a film that is based on what non-fiction book?","""A Long Way Home""","The Sia song ""Never Give Up"" is from the soundtrack of the film ""Unbroken,"" which is based on the non-fiction book ""Unbroken: A World War II Story of Survival, Resilience, and Redemption"" by Laura Hillenbrand.",True
Standard,"What was a branch of the Khalwatiyya order of Islamic mysticism founded by Sayyid Hasan Husameddin, with relations to the cousin and son-in-law of Muhammad?",Tasawwuf,"The branch of the Khalwatiyya order founded by Sayyid Hasan Husameddin is related to the cousin and son-in-law of Muhammad through its connection to the Shafi'i school of thought, which was favored by the Umayyad and later the Abbasid caliphs, including Muhammad's cousin and son-in-law, Ali.",False
Standard,"Toby Williams is a British actor, writer and award-winning stand-up comedian, he has appeared in which British comedy television series, shown on the Sky Living channel?",Trying Again,"Toby Williams appeared in ""The League of Gentlemen's Apocalypse,"" a British comedy television series shown on the Sky Living channel.",False
Standard,"who had more fame as a solo artist, Jacoby Shaddix or John Waite",John Charles Waite,"Jacoby Shaddix is generally considered to have more widespread solo fame than John Waite. Shaddix gained significant fame as the lead vocalist of Papa Roach, which has sold over 20 million albums worldwide. John Waite, while successful with his band Bad Company and as a solo artist, has not achieved the same level of mainstream recognition as Shaddix.",True
Standard,What is another name for the blood disorder Emmanuel Ntima Weyi founded a non-profit in support of?,Sickle-cell disease,Sickle cell anemia,False
Standard,The special operations force of the Irish Defence Forces had access to what according tothe modern weapons of the Irish Arm? ,a wide variety of specialist weapons,"According to ""Modern Weapons of the Irish Armed Forces,"" the special operations force of the Irish Defence Forces had access to a variety of specialized equipment and weapons, including but not limited to sniper rifles, night vision goggles, and specialized firearms.",True
Standard,Where is the Peppers Manor House and the New South Wales State Heritage Register located?,Australia,"Peppers Manor House and its location on the New South Wales State Heritage Register is located in Stockton, New South Wales, Australia.",True
Standard,What NFL team does the 2010 Washington Huskies head coach work for?,Atlanta Falcons,"The 2010 Washington Huskies head coach was Chris Petersen, who currently works for the Cincinnati Bengals.",False
Standard,What country of origin does Patrick Brice and Creep have in common?,American,New Zealand,False
Standard,Where is the base of one of the three main British intelligence agencies?,Cheltenham,"The base of one of the three main British intelligence agencies, GCHQ (Government Communications Headquarters), is in Cheltenham, England.",True
Standard,Where did the fairy Queen Mab orginate?  ,William Shakespeare,"The character of Queen Mab originated in Shakespeare's play ""Romeo and Juliet.""",False
Standard,What type of soprano was Emma Matthews famous for?,lyric soprano is a type of operatic soprano voice,Emma Matthews was famous for her coloratura soprano.,False
Standard,"The 2011 Major League Soccer All-Star Game, held on July 27, 2011, was the 16th annual Major League Soccer All-Star Game, Manchester United won the game 4–0 with goals from players, including Daniel Nii Tackie Mensah Welbeck, an English professional footballer who plays for which organization, club Arsenal and the England national team?",Premier League,Daniel Nii Tackie Welbeck plays for Manchester United and the England national team.,False
Standard,Near what river is the library that contains the Aberdeen Bestiary located?,the River Thames,"The Aberdeen Bestiary is located in the University of Aberdeen, which is near the River Don.",True
Standard,What life member of The Actors Studio often portraying military or authority figure roles stared in a film that  was directed by Richard Wilson?,Robert F. Simon,"Lee J. Cobb often portrayed military or authority figure roles and starred in the film ""Twelve O'Clock High"" directed by Richard Wilson.",False
Standard,"Proud To Commit Commercial Suicide is a live album by industrial metal band Nailbomb and captures the band's only live appearance at the 1995 Dynamo Open Air Festival, the album cover is a picture of the aftermath of which infamous remote settlement established by the Peoples Temple, an American socialist organization under the leadership of Jim Jones, in northwestern Guyana?",Jonestown,Jonestown,True
Standard,Who directed the film in which Christoph Koncz starred as Kaspar Weiss ?,François Girard,The film in which Christoph Koncz starred as Kaspar Weiss was directed by Roger Donaldson.,False
Standard,"Decommissioning in Northern Ireland was a process in the Belfast Agreement as part of the Northern Ireland peace process, the Northern Ireland peace process is often considered to cover the events leading up to which year, Provisional Irish Republican Army (IRA) ceasefire, the end of most of the violence of the Troubles, the Good Friday (or Belfast) Agreement of 1998, and subsequent political developments?",1994,1994,True
Standard,Are Monoral and Versus both rock bands?,yes,"No, Versus is not a rock band; Monoral is a rock band.",False
